updated_at,processed,selected_total,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-09T15:04:15+08:00,1,390,0,0,0.0,0.0,0.0,,0,0,0,1,TCGA-LD-A74U,histological_type_label,direct,False,
2026-08-09T15:04:18+08:00,2,390,0,0,0.0,0.0,0.0,0.0,0,0,0,1,TCGA-LD-A74U,unrouted,none,False,
2026-08-09T15:04:28+08:00,3,390,0,0,0.0,0.0,0.0,0.0,0,0,0,2,TCGA-LD-A74U,histologic_grade_label,direct,False,
2026-08-09T15:04:36+08:00,4,390,1,0,0.25,0.25,0.3333333333333333,0.0,0,0,0,2,TCGA-LD-A74U,dcis_binary+lcis_binary,direct,True,
2026-08-09T15:04:46+08:00,5,390,2,0,0.4,0.4,0.5,0.0,0,0,0,3,TCGA-AR-A1AI,histological_type_label,direct,True,
2026-08-09T15:04:49+08:00,6,390,2,0,0.3333333333333333,0.3333333333333333,0.5,0.0,0,0,0,3,TCGA-AR-A1AI,unrouted,none,False,
2026-08-09T15:04:51+08:00,7,390,3,0,0.42857142857142855,0.42857142857142855,0.5,0.3333333333333333,0,0,0,3,TCGA-AR-A1AI,unrouted,none,True,
2026-08-09T15:04:54+08:00,8,390,3,0,0.375,0.375,0.5,0.25,0,0,0,3,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-09T15:05:03+08:00,9,390,3,0,0.3333333333333333,0.3333333333333333,0.4,0.25,0,0,0,3,TCGA-B6-A0WZ,histological_type_label,direct,False,
2026-08-09T15:05:06+08:00,10,390,3,0,0.3,0.3,0.4,0.2,0,0,0,3,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-09T15:05:15+08:00,11,390,4,0,0.36363636363636365,0.36363636363636365,0.5,0.2,0,0,0,3,TCGA-B6-A0WZ,ER_status_label+PR_status_label,direct,True,
2026-08-09T15:05:18+08:00,12,390,4,0,0.3333333333333333,0.3333333333333333,0.5,0.16666666666666666,0,0,0,3,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-09T15:05:22+08:00,13,390,4,0,0.3076923076923077,0.3076923076923077,0.5,0.14285714285714285,0,0,0,3,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-09T15:05:33+08:00,14,390,4,0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.14285714285714285,0,0,0,3,TCGA-BH-A5IZ,nottingham_total_score,direct,False,
2026-08-09T15:05:44+08:00,15,390,4,0,0.26666666666666666,0.26666666666666666,0.375,0.14285714285714285,0,0,0,3,TCGA-BH-A5IZ,ER_status_label+PR_status_label+HER2_status_label,direct,False,
2026-08-09T15:05:47+08:00,16,390,4,0,0.25,0.25,0.375,0.125,0,0,0,3,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-09T15:05:49+08:00,17,390,5,0,0.29411764705882354,0.29411764705882354,0.375,0.2222222222222222,0,0,0,3,TCGA-BH-A0AZ,unrouted,none,True,
2026-08-09T15:06:00+08:00,18,390,6,0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.2222222222222222,0,0,0,3,TCGA-BH-A0AZ,nottingham_total_score,direct,True,
2026-08-09T15:06:03+08:00,19,390,6,0,0.3157894736842105,0.3157894736842105,0.4444444444444444,0.2,0,0,0,3,TCGA-BH-A0AZ,unrouted,none,False,
2026-08-09T15:06:14+08:00,20,390,6,0,0.3,0.3,0.4,0.2,0,0,0,3,TCGA-BH-A0AZ,ER_status_label+PR_status_label,direct,False,
2026-08-09T15:06:16+08:00,21,390,6,0,0.2857142857142857,0.2857142857142857,0.4,0.18181818181818182,0,0,0,3,TCGA-EW-A1PF,unrouted,none,False,
2026-08-09T15:06:25+08:00,22,390,6,0,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.18181818181818182,0,0,0,4,TCGA-EW-A1PF,histologic_grade_label,direct,False,
2026-08-09T15:06:28+08:00,23,390,6,0,0.2608695652173913,0.2608695652173913,0.36363636363636365,0.16666666666666666,0,0,0,4,TCGA-EW-A1PF,unrouted,none,False,
