,组织学类型标签（histological_type_label）,是否导管成分（ductal_binary）,是否小叶成分（lobular_binary）,DCIS导管原位癌（dcis_binary）,LCIS小叶原位癌（lcis_binary）,组织学分级标签（histologic_grade_label）,淋巴血管侵犯标签（lymphovascular_invasion_label）,坏死二值（necrosis_binary）,粉刺样坏死二值（comedonecrosis_binary）,微钙化二值（microcalcification_binary）,Nottingham总分（nottingham_total_score）,有丝分裂评分（mitotic_score）,ER状态标签（ER_status_label）,PR状态标签（PR_status_label）,HER2状态标签（HER2_status_label）,AJCC病理分期（ajcc_pathologic_stage）,OS结局（OS）
ESR-mediated signaling (Reactome R-HSA-8939211),0.02474704,0.052632194,0.03952702,0.07418591,0.05329567,0.05812849,0.062374238,0.6581471,0.06449901,0.06757654,0.07096863,0.06691298,0.60780305,0.5688224,0.64110726,0.070849456,0.07151993
Nuclear Receptor transcription pathway (Reactome R-HSA-383280),0.023572925,0.056311987,0.03498659,0.07055573,0.05475869,0.05667438,0.059996832,0.6162536,0.06656957,0.06718351,0.07169841,0.06777508,0.6006822,0.5724766,0.6531842,0.06954461,0.078630455
Signaling by ERBB2 (Reactome R-HSA-1227986),0.029821977,0.06848619,0.047660757,0.06223947,0.059718944,0.039718796,0.05561591,0.06902801,0.57483995,0.06267822,0.064328976,0.070647635,0.050276298,0.07581417,0.05426736,0.053880703,0.08148218
Signaling by EGFR (Reactome R-HSA-177929),0.058137756,0.6163348,0.071009934,0.5733998,0.58015925,0.04629936,0.061740108,0.053672682,0.55466545,0.048806746,0.064729795,0.053290997,0.05127852,0.0684725,0.04429666,0.06729968,0.08642337
PIP3 activates AKT signaling (Reactome R-HSA-1257604),0.02786475,0.0688675,0.057245936,0.07004336,0.06988205,0.06331973,0.06112726,0.067328826,0.06859908,0.5308332,0.07498378,0.07615855,0.08212212,0.07985741,0.087717906,0.06771893,0.6106449
G2/M Transition (Reactome R-HSA-69275),0.6370461,0.06812645,0.63644063,0.08262359,0.5594399,0.7322993,0.6857716,0.08805035,0.02161329,0.07473115,0.54357815,0.07608354,0.074762076,0.6374359,0.059805032,0.54400516,0.0207426
Mitotic Spindle Checkpoint (Reactome R-HSA-69618),0.63828915,0.06814304,0.638757,0.55722857,0.55622894,0.7278029,0.6814711,0.59077346,0.021711838,0.07465296,0.54108524,0.07593014,0.07501559,0.64005905,0.058499847,0.5470754,0.021817656
p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563),0.03772256,0.07432063,0.06526877,0.0792938,0.07045075,0.04457722,0.06951959,0.0515738,0.07864185,0.04523922,0.06582089,0.048785765,0.06042501,0.08216485,0.056589052,0.055386372,0.5800239
DNA Double-Strand Break Repair (Reactome R-HSA-5693532),0.081216946,0.06916397,0.58130735,0.5982584,0.079510905,0.046320096,0.0724441,0.07084605,0.064656965,0.058956645,0.06940764,0.06644466,0.060101863,0.05565612,0.045297902,0.068568066,0.049126785
Adherens junctions interactions (Reactome R-HSA-418990),0.07984317,0.53784215,0.079815246,0.5603043,0.07785388,0.023055045,0.049689006,0.07108214,0.54408586,0.065603435,0.05853461,0.06433836,0.046285607,0.055524047,0.052106075,0.06938521,0.58488387
Tight junction interactions (Reactome R-HSA-420029),0.07729147,0.53918827,0.08028931,0.6082739,0.55418843,0.05375505,0.06095167,0.0686088,0.07281002,0.05401549,0.059665006,0.06082261,0.04851641,0.06251132,0.049721997,0.07566475,0.07894507
Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834),0.030519051,0.07687081,0.06026515,0.06856801,0.07001372,0.07196268,0.055405457,0.08893803,0.07653843,0.60403144,0.072212875,0.5409713,0.08486956,0.5656899,0.6470002,0.07750681,0.5891419
Degradation of the extracellular matrix (Reactome R-HSA-1474228),0.72996473,0.63113606,0.61825055,0.0793397,0.081264175,0.066394225,0.073721915,0.58259654,0.696861,0.6867588,0.6238596,0.6325718,0.07731803,0.060849592,0.63083005,0.5940422,0.07682158
Integrin cell surface interactions (Reactome R-HSA-216083),0.07120648,0.63234335,0.07486238,0.08091048,0.07551544,0.04009473,0.032012876,0.083957165,0.6411559,0.7348816,0.06795822,0.6239375,0.072914876,0.06956296,0.6343074,0.07065323,0.65570164
Collagen formation (Reactome R-HSA-1474290),0.7087235,0.61264235,0.600392,0.619467,0.0829193,0.053858694,0.051719822,0.6503477,0.6974063,0.72121775,0.56533897,0.6252662,0.07488381,0.069965325,0.08404644,0.59614235,0.079484805
TCR signaling (Reactome R-HSA-202403),0.5433047,0.07410558,0.07296565,0.043200325,0.06463219,0.63038325,0.5842533,0.045027915,0.08000956,0.054905426,0.56468135,0.55600095,0.60302675,0.06212478,0.0807561,0.07766754,0.074273385
Signaling by the B Cell Receptor (BCR) (Reactome R-HSA-983705),0.07765478,0.07442951,0.07455157,0.05477543,0.069287464,0.58078194,0.5924655,0.049324613,0.07589929,0.06527186,0.075577386,0.07864168,0.58378613,0.065081455,0.07995667,0.077622674,0.081941545
Interferon gamma signaling (Reactome R-HSA-877300),0.679729,0.07883279,0.56652904,0.048529975,0.07953134,0.6047103,0.60108817,0.047090966,0.082000196,0.057245307,0.5930726,0.59930927,0.61218125,0.054924972,0.60006046,0.5419749,0.062266737
Co-inhibition by PD-1 (Reactome R-HSA-389948),0.0777523,0.06869995,0.070284486,0.048550297,0.06613465,0.5975207,0.5930767,0.0463973,0.07361168,0.052393038,0.08213606,0.07877987,0.59373266,0.05859017,0.0778151,0.5293018,0.07013274
Cellular response to hypoxia (Reactome R-HSA-1234174),0.080605425,0.06869891,0.082088046,0.07454677,0.5843568,0.072038405,0.069807604,0.05013007,0.057516634,0.03797037,0.06845859,0.06067943,0.04873128,0.072036006,0.049046546,0.067421116,0.06391049
