updated_at,processed,selected_total,answered,abstained,coverage,selective_accuracy,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-24T09:21:12+08:00,1,390,1,0,1.0,1.0,1,0,1.0,1.0,1.0,,0,0,0,0,TCGA-LD-A74U,histological_type_label,partial,True,
2026-08-24T09:22:03+08:00,2,390,2,0,1.0,0.5,1,0,0.5,0.5,1.0,0.0,0,0,0,0,TCGA-LD-A74U,unrouted,none,False,
2026-08-24T09:22:29+08:00,3,390,3,0,1.0,0.3333333333333333,1,0,0.3333333333333333,0.3333333333333333,0.5,0.0,0,0,0,0,TCGA-LD-A74U,histologic_grade_label,direct,False,
2026-08-24T09:23:29+08:00,4,390,4,0,1.0,0.25,1,0,0.25,0.25,0.3333333333333333,0.0,0,0,0,1,TCGA-LD-A74U,histological_type_label+dcis_binary+lcis_binary,partial,False,
2026-08-24T09:25:05+08:00,5,390,5,0,1.0,0.2,1,0,0.2,0.2,0.25,0.0,0,0,0,1,TCGA-AR-A1AI,histological_type_label,partial,False,
2026-08-24T09:25:13+08:00,6,390,6,0,1.0,0.16666666666666666,1,0,0.16666666666666666,0.16666666666666666,0.25,0.0,0,0,0,1,TCGA-AR-A1AI,unrouted,none,False,
2026-08-24T09:26:33+08:00,7,390,7,0,1.0,0.14285714285714285,1,0,0.14285714285714285,0.14285714285714285,0.25,0.0,0,0,0,1,TCGA-AR-A1AI,unrouted,none,False,
2026-08-24T09:27:04+08:00,8,390,8,0,1.0,0.125,1,0,0.125,0.125,0.25,0.0,0,0,0,1,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-24T09:27:37+08:00,9,390,9,0,1.0,0.1111111111111111,1,0,0.1111111111111111,0.1111111111111111,0.2,0.0,0,0,0,1,TCGA-B6-A0WZ,histological_type_label,partial,False,
2026-08-24T09:28:46+08:00,10,390,10,0,1.0,0.1,1,0,0.1,0.1,0.2,0.0,0,0,0,1,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-24T09:29:12+08:00,11,390,11,0,1.0,0.18181818181818182,2,0,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.0,0,0,0,1,TCGA-B6-A0WZ,ER_status_label+PR_status_label,direct,True,
2026-08-24T09:29:50+08:00,12,390,12,0,1.0,0.16666666666666666,2,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0,0,0,1,TCGA-BH-A5IZ,unrouted,none,False,
2026-08-24T09:30:07+08:00,13,390,13,0,1.0,0.15384615384615385,2,0,0.15384615384615385,0.15384615384615385,0.2857142857142857,0.0,0,0,0,1,TCGA-BH-A5IZ,histological_type_label,partial,False,
2026-08-24T09:30:37+08:00,14,390,14,0,1.0,0.14285714285714285,2,0,0.14285714285714285,0.14285714285714285,0.25,0.0,0,0,0,1,TCGA-BH-A5IZ,nottingham_total_score,partial,False,
