case_id,question,choices,route,task_match,selected_prototype_ids,target_phenotypes,phenotype_relevance_score,reason,use_pathology_agent
TCGA-LD-A74U,what is the patient's diagnosis?,"[""ductal carcinoma in situ"", ""invasive ductal carcinoma"", ""invasive lobular carcinoma"", ""metastatic carcinoma""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The histological_type_label prototype (P001) directly covers the four specific carcinoma types listed in the choices (DCIS, Invasive Ductal, Invasive Lobular, Metastatic), allowing for a complete distinction among the options.",True
TCGA-LD-A74U,what is the tumor size approximately?,"[""50mm"", ""60mm"", ""70mm"", ""80mm""]",nonvisual,none,[],[],0.0,"Tumor size is a macroscopic measurement requiring whole-specimen assessment or clinical report data, which cannot be determined from local H&E morphology patches or the available WSI-derived phenotype prototypes.",False
TCGA-LD-A74U,what is the nuclear grade of the tumor?,"[""low"", ""intermediate"", ""high"", ""not mentioned""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The question asks for nuclear grade, which is directly covered by the histologic_grade_label prototype (P006) that distinguishes low, intermediate, and high grades.",True
TCGA-LD-A74U,is there any in-situ component in the tumor?,"[""yes"", ""no"", ""not mentioned"", ""cannot be determined""]",phenotype_direct,direct,"[""P004"", ""P005""]","[""dcis_binary"", ""lcis_binary""]",1.0,"The presence of an in-situ component is directly determined by the binary predictions for DCIS (P004) and LCIS (P005), which cover the 'yes' choice and distinguish it from 'no' or 'cannot be determined' based on available visual prototypes.",True
TCGA-AR-A1AI,what type of breast cancer does jeb have?,"[""medullary carcinoma"", ""invasive ductal carcinoma"", ""lobular carcinoma"", ""inflammatory breast cancer.""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The question asks for the specific histologic type of breast cancer, which is directly covered by the 'histological_type_label' prototype (P001) that distinguishes between medullary, ductal, lobular, and other carcinoma types.",True
TCGA-AR-A1AI,what was the size of the mass in jeb's breast?,"[""3.5 x 2.0 x 2.0 cm"", ""4.5 x 3.0 x 2.0 cm"", ""4.0 x 2.5 x 2.0 cm"", ""5.0 x 2.5 x 2.5 cm.""]",nonvisual,none,[],[],0.0,"The question asks for the exact macroscopic size of the mass, which is a measured clinical fact or report detail not derivable from WSI-derived morphology prototypes or local H&E patches.",False
TCGA-AR-A1AI,what was the status of the surgical margins in jeb's case?,"[""positive, indicating residual cancer."", ""negative, indicating removal of all cancer."", ""unclear, further testing is neede"", ""d: positive, indicating the presence of cancer in the margins.""]",nonvisual,none,[],[],0.0,"Surgical margin status is a global clinical/pathology report fact regarding the extent of resection, which cannot be determined from local H&E morphology patches or the available WSI-derived phenotype prototypes.",False
TCGA-B6-A0WZ,what is the size of the tumor?,"[""1.4 cm"", ""2.8 cm"", ""3 cm"", ""3.2 cm""]",nonvisual,none,[],[],0.0,"Tumor size is a macroscopic measurement requiring whole-specimen assessment or clinical report data, which cannot be determined from local H&E morphology patches or the available WSI-derived phenotype prototypes.",False
TCGA-B6-A0WZ,what subtype of infiltrating ductal carcinoma is present?,"[""lobular cacinoma"", ""tubulolobular subtype"", ""mucinous carcinoma"", ""papillary carcinoma""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The question asks to identify the specific histological subtype among distinct carcinoma categories, which is directly covered by the histological_type_label prototype (P001) that distinguishes between ductal, lobular, mucinous, and other specific subtypes.",True
TCGA-B6-A0WZ,is there evidence of multifocal tumor?,"[""yes"", ""no"", ""cannot determine"", ""not mentioned in the slide""]",nonvisual,none,[],[],0.0,"Multifocality is a global specimen-level attribute regarding the number of distinct tumor foci, which cannot be determined from local H&E morphology patches or the provided WSI-derived phenotype prototypes that focus on histologic type, grade, or receptor status.",False
TCGA-B6-A0WZ,what are the preliminary results of the hormone receptor analysis?,"[""positive for estrogen receptors"", ""negative for estrogen receptors"", ""positive for progesterone receptors"", ""negative for progesterone receptors""]",phenotype_direct,direct,"[""P013"", ""P014""]","[""ER_status_label"", ""PR_status_label""]",1.0,"The question asks for preliminary hormone receptor results (ER and PR), which are directly covered by the ER_status_label (P013) and PR_status_label (P014) prototypes that provide positive/negative classifications.",True
TCGA-BH-A5IZ,what is the size of the tumor?,"[""22 cm"", ""9/9"", ""grade 3"", ""negative for invasive carcinoma""]",nonvisual,none,[],[],0.0,Tumor size is a macroscopic measurement not assessable from H&E morphology or covered by any available WSI-derived phenotype prototypes.,False
TCGA-BH-A5IZ,what percentage of the tumor volume constitutes ductal carcinoma in situ (dcis)?,"[""less than 5%"", ""22 cm"", ""grade 3"", ""focal atypical ductal hyperplasia""]",nonvisual,none,[],[],0.0,"The question asks for a specific volumetric percentage ('less than 5%'), which is a quantitative measurement of tumor extent not covered by the available histological type or binary presence prototypes, and cannot be resolved from local H&E morphology patches.",False
TCGA-BH-A5IZ,what is the nottingham score for the tumor?,"[""9/9"", ""22 cm"", ""positive for estrogen receptors"", ""negative for invasive carcinoma""]",nonvisual,none,[],[],0.0,"The question asks for a specific numerical Nottingham score (e.g., '9/9'), but the available prototype P011 only provides categorical risk levels (low/intermediate/high) and does not cover the specific numerical score required to distinguish the choices.",False
TCGA-BH-A5IZ,what are the hormone receptor status of the tumor?,"[""positive for estrogen receptors"", ""negative for progesterone receptors"", ""negative for her-2"", ""positive for estrogen and progesterone receptors""]",phenotype_direct,direct,"[""P013"", ""P014"", ""P015""]","[""ER_status_label"", ""PR_status_label"", ""HER2_status_label""]",1.0,"The question asks for hormone receptor status (ER, PR, HER2), which is directly covered by prototypes P013 (ER), P014 (PR), and P015 (HER2), allowing for a complete distinction among the provided choices.",True
TCGA-BH-A5IZ,what type of non-neoplastic breast tissue changes were observed?,"[""atypical ductal hyperplasia"", ""fibrocystic changes"", ""dermal lymphatic invasion"", ""focal atypical ductal hyperplasia""]",morphology_only,none,[],[],0.0,"The question asks for specific non-neoplastic tissue changes (e.g., fibrocystic changes) and atypical hyperplasia patterns, which are local H&E morphological features not covered by the provided carcinoma-focused prototypes (P001-P017).",True
TCGA-BH-A0AZ,what is the tumor size range?,"[""0.6 cm to 21 cm"", ""0.6 cm to 9 cm"", ""0.6 cm to 15 cm"", ""0.8 cm to 21 cm""]",nonvisual,none,[],[],0.0,"Tumor size is a macroscopic measurement requiring whole-specimen assessment or clinical report data, which cannot be determined from local H&E morphology patches or the available WSI-derived phenotype prototypes.",False
TCGA-BH-A0AZ,what is the nottingham score?,"[""6 out of 9"", ""9 out of 6"", ""3 out of 5"", ""5 out of 10""]",nonvisual,none,[],[],0.0,"The question asks for a specific numerical score ('6 out of 9', etc.), which is an exact measured assay result or report fact, whereas the available Nottingham prototype (P011) only provides categorical risk levels (low/intermediate/high) and cannot distinguish the specific numeric options provided in the choices.",False
TCGA-BH-A0AZ,what percentage of tumor volume does ductal carcinoma in situ (dcis) represent?,"[""less than 1%"", ""approximately 2%"", ""around 10%"", ""more than 5%""]",nonvisual,none,[],[],0.0,"The question asks for a specific quantitative percentage of tumor volume, which is a global specimen measurement or report fact not derivable from local H&E morphology or the provided WSI-derived phenotype prototypes.",False
