updated_at,processed,selected_total,answered,abstained,coverage,selective_accuracy,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,case_id,task,task_match,last_correct,last_error
2026-08-16T10:15:50+08:00,1,390,0,1,0.0,,0,0,0.0,,,,0,0,0,0,TCGA-LD-A74U,unrouted,none,False,
2026-08-16T10:20:34+08:00,2,390,1,1,0.5,1.0,1,0,0.5,1.0,1.0,,0,0,0,0,TCGA-LD-A74U,histological_type_label,direct,True,
2026-08-16T10:24:28+08:00,3,390,2,1,0.6666666666666666,0.5,1,0,0.3333333333333333,0.5,0.5,,0,0,0,0,TCGA-LD-A74U,histologic_grade_label,direct,False,
2026-08-16T10:28:25+08:00,4,390,3,1,0.75,0.6666666666666666,2,0,0.5,0.6666666666666666,0.6666666666666666,,0,0,0,0,TCGA-LD-A74U,histological_type_label+dcis_binary+lcis_binary,direct,True,
2026-08-16T10:28:30+08:00,5,390,3,2,0.6,0.6666666666666666,2,0,0.4,0.6666666666666666,0.6666666666666666,,0,0,0,0,TCGA-AR-A1AI,unrouted,none,False,
2026-08-16T10:28:30+08:00,6,390,3,3,0.5,0.6666666666666666,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,,0,0,0,0,TCGA-AR-A1AI,unrouted,none,False,
2026-08-16T10:32:43+08:00,7,390,4,3,0.5714285714285714,0.5,2,0,0.2857142857142857,0.5,0.5,,0,0,0,0,TCGA-AR-A1AI,histological_type_label,direct,False,
2026-08-16T10:32:43+08:00,8,390,4,4,0.5,0.5,2,0,0.25,0.5,0.5,,0,0,0,0,TCGA-B6-A0WZ,unrouted,none,False,
2026-08-16T10:37:06+08:00,9,390,5,4,0.5555555555555556,0.6,3,0,0.3333333333333333,0.6,0.6,,0,0,0,0,TCGA-B6-A0WZ,histological_type_label,direct,True,
2026-08-16T10:40:47+08:00,10,390,6,4,0.6,0.6666666666666666,4,0,0.4,0.6666666666666666,0.6,1.0,0,0,0,0,TCGA-B6-A0WZ,unrouted,none,True,
2026-08-16T10:42:07+08:00,11,390,7,4,0.6363636363636364,0.7142857142857143,5,0,0.45454545454545453,0.7142857142857143,0.6666666666666666,1.0,0,0,0,0,TCGA-B6-A0WZ,ER_status_label+PR_status_label,direct,True,
