task_name,task_type,num_train,num_val,num_test,metric_name,metric_value,missing_rate
组织学类型标签（histological_type_label）,multiclass,1894,405,406,ACC,0.8666666666666667,
是否导管成分（ductal_binary）,binary,1894,405,406,AUC,0.8452396248233329,
是否小叶成分（lobular_binary）,binary,1894,405,406,AUC,0.798110286659905,
DCIS导管原位癌（dcis_binary）,binary,1894,405,406,AUC,0.6562881562881563,
LCIS小叶原位癌（lcis_binary）,binary,1894,405,406,AUC,0.7877833160914135,
组织学分级标签（histologic_grade_label）,multiclass,1894,405,406,ACC,0.6655948553054662,
淋巴血管侵犯标签（lymphovascular_invasion_label）,multiclass,1894,405,406,ACC,0.6229508196721312,
坏死二值（necrosis_binary）,binary,1894,405,406,AUC,0.6216774193548387,
粉刺样坏死二值（comedonecrosis_binary）,binary,1894,405,406,AUC,0.6449009537784299,
微钙化二值（microcalcification_binary）,binary,1894,405,406,AUC,0.6110396994116776,
Nottingham总分（nottingham_total_score）,multiclass,1894,405,406,ACC,0.6445783132530121,
有丝分裂评分（mitotic_score）,multiclass,1894,405,406,ACC,0.5555555555555556,
ER状态标签（ER_status_label）,multiclass,1894,405,406,ACC,0.8461538461538461,
PR状态标签（PR_status_label）,multiclass,1894,405,406,ACC,0.7746478873239436,
HER2状态标签（HER2_status_label）,multiclass,1894,405,406,ACC,0.6236933797909407,
AJCC病理分期（ajcc_pathologic_stage）,multiclass,1894,405,406,ACC,0.34005037783375314,
OS结局（OS）::0-1y,discrete_survival,1894,405,406,AUC,0.7536231884057971,
OS结局（OS）::1-3y,discrete_survival,1894,405,406,AUC,0.5814393939393939,
OS结局（OS）::3-5y,discrete_survival,1894,405,406,AUC,0.5131578947368421,
OS结局（OS）::5-10y,discrete_survival,1894,405,406,AUC,0.49999999999999994,
OS结局（OS）::mean,discrete_survival,1894,405,406,AUC,0.5870551192705082,
OS结局（OS）::c_index,discrete_survival,1894,405,406,C-index,0.6705501618122978,
ESR-mediated signaling (Reactome R-HSA-8939211),gene_program_regression,1894,405,406,MAE,0.5368772513911496,
Nuclear Receptor transcription pathway (Reactome R-HSA-383280),gene_program_regression,1894,405,406,MAE,0.5722672117230149,
Signaling by ERBB2 (Reactome R-HSA-1227986),gene_program_regression,1894,405,406,MAE,0.6785991267217784,
Signaling by EGFR (Reactome R-HSA-177929),gene_program_regression,1894,405,406,MAE,0.7029763409948367,
PIP3 activates AKT signaling (Reactome R-HSA-1257604),gene_program_regression,1894,405,406,MAE,0.6557450365275145,
G2/M Transition (Reactome R-HSA-69275),gene_program_regression,1894,405,406,MAE,0.6161844100084524,
Mitotic Spindle Checkpoint (Reactome R-HSA-69618),gene_program_regression,1894,405,406,MAE,0.6045260817594367,
p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563),gene_program_regression,1894,405,406,MAE,0.7788252429967677,
DNA Double-Strand Break Repair (Reactome R-HSA-5693532),gene_program_regression,1894,405,406,MAE,0.8451069483694471,
Adherens junctions interactions (Reactome R-HSA-418990),gene_program_regression,1894,405,406,MAE,0.6834870902453491,
Tight junction interactions (Reactome R-HSA-420029),gene_program_regression,1894,405,406,MAE,0.6704513978466023,
Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834),gene_program_regression,1894,405,406,MAE,0.6563885338742423,
Degradation of the extracellular matrix (Reactome R-HSA-1474228),gene_program_regression,1894,405,406,MAE,0.6654703367179559,
Integrin cell surface interactions (Reactome R-HSA-216083),gene_program_regression,1894,405,406,MAE,0.7730670992606952,
Collagen formation (Reactome R-HSA-1474290),gene_program_regression,1894,405,406,MAE,0.6655531840559877,
TCR signaling (Reactome R-HSA-202403),gene_program_regression,1894,405,406,MAE,0.5978246816698416,
Signaling by the B Cell Receptor (BCR) (Reactome R-HSA-983705),gene_program_regression,1894,405,406,MAE,0.6339690137441834,
Interferon gamma signaling (Reactome R-HSA-877300),gene_program_regression,1894,405,406,MAE,0.614252478417791,
Co-inhibition by PD-1 (Reactome R-HSA-389948),gene_program_regression,1894,405,406,MAE,0.593477154907161,
Cellular response to hypoxia (Reactome R-HSA-1234174),gene_program_regression,1894,405,406,MAE,0.7550712674672221,
RIPK1-mediated regulated necrosis (Reactome R-HSA-5213460),gene_program_regression,1894,405,406,MAE,0.7719277276990958,
Signaling by BMP (Reactome R-HSA-201451),gene_program_regression,1894,405,406,MAE,0.693757149434568,
ESR1,gene_expression_regression,1894,405,406,Pearson,0.6256235532580086,
ESR2,gene_expression_regression,1894,405,406,Pearson,0.4126956763128651,
HSP90AA1,gene_expression_regression,1894,405,406,Pearson,0.3443221873453669,
HSP90AB1,gene_expression_regression,1894,405,406,Pearson,0.4002355423641132,
HSP90B1,gene_expression_regression,1894,405,406,Pearson,0.3488996919358901,
NCOA1,gene_expression_regression,1894,405,406,Pearson,0.12568078997478677,
NCOA2,gene_expression_regression,1894,405,406,Pearson,0.22879726222813934,
NCOA3,gene_expression_regression,1894,405,406,Pearson,0.35088597481836414,
NCOR1,gene_expression_regression,1894,405,406,Pearson,0.2772176424755383,
NCOR2,gene_expression_regression,1894,405,406,Pearson,0.16457229348318045,
MED1,gene_expression_regression,1894,405,406,Pearson,0.20163114125109605,
EP300,gene_expression_regression,1894,405,406,Pearson,0.18551415079762093,
CREBBP,gene_expression_regression,1894,405,406,Pearson,0.323258829368289,
MAPK1,gene_expression_regression,1894,405,406,Pearson,0.15445927223104086,
MAPK3,gene_expression_regression,1894,405,406,Pearson,0.39013253019644145,
FOXA1,gene_expression_regression,1894,405,406,Pearson,0.7432598077737301,
GATA3,gene_expression_regression,1894,405,406,Pearson,0.6747818280738527,
PGR,gene_expression_regression,1894,405,406,Pearson,0.5681194110252505,
HDAC3,gene_expression_regression,1894,405,406,Pearson,0.15079125588878123,
RXRA,gene_expression_regression,1894,405,406,Pearson,0.35262997060415335,
ERBB2,gene_expression_regression,1894,405,406,Pearson,0.3034759474134716,
ERBB3,gene_expression_regression,1894,405,406,Pearson,0.502197785465014,
ERBB4,gene_expression_regression,1894,405,406,Pearson,0.6697122693413423,
EGFR,gene_expression_regression,1894,405,406,Pearson,0.5602709721580074,
GRB2,gene_expression_regression,1894,405,406,Pearson,0.2578747473243749,
GRB7,gene_expression_regression,1894,405,406,Pearson,0.11842942971198403,
SHC1,gene_expression_regression,1894,405,406,Pearson,0.10630632280919729,
GAB1,gene_expression_regression,1894,405,406,Pearson,0.31900126728854594,
PIK3CA,gene_expression_regression,1894,405,406,Pearson,0.17632352082445946,
PIK3R1,gene_expression_regression,1894,405,406,Pearson,0.4660185539152445,
PLCG1,gene_expression_regression,1894,405,406,Pearson,0.26164022641182927,
